类别,发展对象,预备党员,预备党员.1,转正
,,预审,请示,
国贸,20201010.0,20201125,20201126,20201205.0
经济,20201002.0,20201120,20201125,20201215.0
会一,20201007.0,20201122,20201129,20201214.0
会二,20201015.0,20201115,20201122,20201206.0
研一,20201008.0,20201102,20201130,20201216.0
研二,20201026.0,20201103,20201130,20201204.0
工信,20201008.0,20201202,20201204,20201209.0
电物,20200929.0,20201205,20201210,20201223.0
人营,20201009.0,20201207,20201212,20201207.0
法学,20201010.0,20201123,20201129,20201205.0
支部数量,10.0,10,10,10.0
总人数,98.0,86,86,83.0
请示统一落款时间,20201027.0,20191030,20201213,20201224.0
批复时间,20201103.0,20191106,20201221,20201231.0
