支部数量,2020上发展对象,2020上预审,2020上预备党员,2020上转正,九月份延期转正,2020下发展对象,2020下预审,2020下预备党员,2020下转正,2021上发展对象,2021上预审,2021上预备党员,2021上转正
国贸,20200413,20200907,20200908,20200529,20200908,20201010,20201125,20201126,20201205,20201116,,20210104,\
经济,20200410,20200904,20200909,20200528,20200909,20201002,20201120,20201125,20201215,20201127,20210102,20210107,\
会一,20200407,20200831,20200907,20200609,20200907,20201007,20201122,20201129,20201214,20201126,20210101,20210107,\
会二,20200410,20200901,20200909,20200525,20200909,20201015,20201115,20201122,20201206,\,\,\,\
研一,20200413,20200906,20200907,20200530,无,20201008,20201102,20201130,20201216,\,\,\,\
研二,20200419,20200905,20200907,20200531,无,20201026,20201103,20201130,20201204,\,\,\,\
工信,20200402,20200522,20200910,20200526,20200910,20201008,20201202,20201204,20201209,20201110,20210102,20210104,\
电物,20200315,20200905,20200910,20200608,20200526,20200929,20201205,20201210,20201223,20201122,20210101,20210104,\
人营,20200325,20200502,20200905,无,20200905,20201009,20201207,20201212,20201207,20201125,20210104,20210108,\
法学,20200326,20200903,20200908,20200605,20200908,20201010,20201123,20201129,20201205,20201110,20210108,20210114,\
支部数量,10,10,10,9,8,10,10,10,10,10,7,7,\
总人数,80,81,81,21,34,98,86,86,83,55,52,52,\
请示统一落款时间,20200420,20200430,20200911,20200609,20200910,20201027,20191030,20201213,20201224,20201130,20210101,20210115,\
批复时间,20200427,20200507,20200918,20200616,20200917,20201103,20191106,20201221,20201231,20201207,20210108,20210122,\
